EV,Price Target,Team,league,Price,Book,Position,Time Until,Player,Game,Type,Line,result
0.12213181988843927,105,mil,nba,105,bet365,under,3h 30m,kyle kuzma,miami heat @ milwaukee bucks,points,15.5,successful bet
0.1895150364509629,-128,mil,nba,-115,bet365,under,3h 30m,damian lillard,miami heat @ milwaukee bucks,three_pointers_made,3.5,successful bet
0.2086553650292598,-105,mia,nba,100,bet365,under,3h 30m,tyler herro,miami heat @ milwaukee bucks,turnovers,2.5,successful bet
0.14347552447552372,115,mil,nba,115,bet365,under,3h 25m,kyle kuzma,miami heat @ milwaukee bucks,steals,0.5,successful bet
0.1280909090909087,-160,mia,nba,-160,bet365,under,3h 25m,davion mitchell,miami heat @ milwaukee bucks,turnovers,1.5,successful bet
0.11023022058887502,-110,mil,nba,-110,bet365,under,3h 25m,brook lopez,miami heat @ milwaukee bucks,blocks,1.5,successful bet
0.16076846089690222,185,mia,nba,185,bet365,under,3h 25m,kel'el ware,miami heat @ milwaukee bucks,turnovers,0.5,successful bet
0.13903400373211605,115,mil,nba,120,bet365,under,3h 25m,kyle kuzma,miami heat @ milwaukee bucks,three_pointers_made,1.5,successful bet
0.11507142592856819,-135,mia,nba,-135,bet365,over,3h 25m,kel'el ware,miami heat @ milwaukee bucks,three_pointers_made,0.5,successful bet
0.15104142011834243,120,mil,nba,120,bet365,under,2h 57m,giannis antetokounmpo,miami heat @ milwaukee bucks,turnovers,2.5,successful bet
0.10265311890050902,-115,gsw,nba,-115,bet365,under,3m,jimmy butler,dallas mavericks @ golden state warriors,points,21.5,successful bet
0.16308415722208755,128,dal,nba,128,bet365,under,1m,naji marshall,dallas mavericks @ golden state warriors,steals,0.5,successful bet
0.13858715769005597,-167,gsw,nba,-155,bet365,under,1m,stephen curry,dallas mavericks @ golden state warriors,three_pointers_made,5.5,successful bet
0.11450739957716682,-225,gsw,nba,-225,bet365,under,1m,gui santos,dallas mavericks @ golden state warriors,steals,0.5,successful bet
0.3252630303030304,850,gsw,nba,850,bet365,side,1m,stephen curry,dallas mavericks @ golden state warriors,first_basket,0.0,successful bet
0.49094153846153854,950,dal,nba,950,bet365,side,-4m,kyrie irving,dallas mavericks @ golden state warriors,first_basket,0.0,successful bet
0.12188854980635737,-105,gsw,nba,-105,bet365,under,-4m,moses moody,dallas mavericks @ golden state warriors,blocks,0.5,successful bet
0.14968811554253844,-120,gsw,nba,-120,bet365,under,-4m,gary payton ii,dallas mavericks @ golden state warriors,steals,0.5,successful bet
0.12928910114275916,100,gsw,nba,100,bet365,under,-4m,stephen curry,dallas mavericks @ golden state warriors,turnovers,2.5,successful bet
0.12715162919272407,125,mil,nba,130,bet365,under,2h 25m,taurean prince,miami heat @ milwaukee bucks,three_pointers_made,1.5,successful bet
0.10074550186163277,-120,mil,nba,-120,bet365,under,2h 17m,taurean prince,miami heat @ milwaukee bucks,points,8.5,successful bet
0.1124151325029635,-110,mil,nba,-110,bet365,under,2h 17m,damian lillard,miami heat @ milwaukee bucks,points_assists,31.5,successful bet
0.2795485804518056,130,lac,nba,140,bet365,under,51m,james harden,los angeles clippers @ indiana pacers,1q_assists,2.5,successful bet
0.15915009128802188,100,lac,nba,100,bet365,under,51m,james harden,los angeles clippers @ indiana pacers,assists,8.5,successful bet
0.19651748251748208,-125,lac,nba,-125,bet365,under,51m,james harden,los angeles clippers @ indiana pacers,turnovers,5.5,successful bet
