EV,Price Target,Team,league,Price,Book,Position,Time Until,Player,Game,Type,Line,result
0.547746032,125,dal,nba,135,bet365,under,0d 0m,max christie,dallas mavericks @ boston celtics,ht_rebounds,3.5,"Halftime bet, not set up for halftime bets yet."
0.38351049,-105,bos,nba,-105,bet365,under,0d 0m,kristaps porzingis,dallas mavericks @ boston celtics,ht_blocks,2.5,"Halftime bet, not set up for halftime bets yet."
0.253807094,-110,dal,nba,-105,bet365,under,0d 0m,kyrie irving,dallas mavericks @ boston celtics,ht_points_rebounds,20.5,"Halftime bet, not set up for halftime bets yet."
0.2652983,-135,dal,nba,-120,bet365,under,0d 0m,kyrie irving,dallas mavericks @ boston celtics,ht_points_assists,22.5,"Halftime bet, not set up for halftime bets yet."
0.228977644,-110,bos,nba,-110,bet365,under,0d 0m,jayson tatum,dallas mavericks @ boston celtics,ht_points_rebounds,33.5,"Halftime bet, not set up for halftime bets yet."
0.202029858,-115,bos,nba,-115,bet365,under,0d 0m,jayson tatum,dallas mavericks @ boston celtics,ht_points_assists,31.5,"Halftime bet, not set up for halftime bets yet."
0.131455002,-117,bos,nba,-115,bet365,under,0d 0m,jayson tatum,dallas mavericks @ boston celtics,ht_rebounds,8.5,"Halftime bet, not set up for halftime bets yet."
0.143354607,-135,dal,nba,-130,bet365,under,0d 0m,kyrie irving,dallas mavericks @ boston celtics,ht_three_pointers_made,1.5,"Halftime bet, not set up for halftime bets yet."
0.208066521,-125,bos,nba,-115,bet365,under,0d 0m,jayson tatum,dallas mavericks @ boston celtics,ht_turnovers,3.5,"Halftime bet, not set up for halftime bets yet."
0.255836793,-115,dal,nba,-110,bet365,under,0d 0m,kyrie irving,dallas mavericks @ boston celtics,ht_points_rebounds_assists,25.5,"Halftime bet, not set up for halftime bets yet."
0.270898598,-130,bos,nba,-115,bet365,under,0d 0m,jayson tatum,dallas mavericks @ boston celtics,ht_points_rebounds_assists,40.5,"Halftime bet, not set up for halftime bets yet."
0.267517147,-125,dal,nba,-115,bet365,under,0d 0m,kyrie irving,dallas mavericks @ boston celtics,ht_points,17.5,"Halftime bet, not set up for halftime bets yet."
0.134734266,125,dal,nba,125,bet365,under,0d 0m,daniel gafford,dallas mavericks @ boston celtics,ht_turnovers,0.5,"Halftime bet, not set up for halftime bets yet."
0.377872472,176,dal,nba,180,bet365,under,0d 0m,daniel gafford,dallas mavericks @ boston celtics,ht_blocks,1.5,"Halftime bet, not set up for halftime bets yet."
0.129583821,-162,dal,nba,-160,bet365,under,0d 0m,daniel gafford,dallas mavericks @ boston celtics,ht_steals_blocks,2.5,"Halftime bet, not set up for halftime bets yet."
0.13073636,150,dal,nba,150,bet365,under,0d 0m,klay thompson,dallas mavericks @ boston celtics,ht_turnovers,0.5,"Halftime bet, not set up for halftime bets yet."
